iter	Passed	Remaining
0	5	5366
1	9	4805
2	14	4655
3	17	4322
4	19	3979
5	22	3712
6	30	4383
7	33	4119
8	35	3895
9	37	3721
10	41	3688
11	44	3668
12	46	3558
13	49	3480
14	52	3465
15	55	3422
16	59	3452
17	62	3413
18	64	3342
19	67	3311
20	69	3246
21	73	3265
22	76	3243
23	78	3183
24	80	3129
25	82	3083
26	84	3036
27	86	2990
28	89	3012
29	92	2980
30	94	2946
31	96	2922
32	98	2888
33	100	2856
34	103	2846
35	107	2867
36	109	2842
37	111	2813
38	113	2788
39	115	2766
40	117	2743
41	121	2770
42	123	2758
43	126	2743
44	128	2727
45	130	2710
46	132	2689
47	135	2688
48	138	2688
49	140	2670
50	142	2654
51	144	2636
52	146	2619
53	148	2603
54	153	2629
55	157	2649
56	159	2644
57	162	2641
58	165	2636
59	171	2680
60	173	2671
61	176	2664
62	178	2656
63	184	2693
64	186	2689
65	188	2674
66	191	2661
67	193	2651
68	195	2637
69	199	2648
70	201	2641
71	203	2627
72	206	2619
73	208	2607
74	210	2597
75	215	2615
76	218	2619
77	221	2615
78	223	2606
79	225	2595
80	228	2591
81	232	2601
82	234	2593
83	236	2582
84	238	2569
85	240	2560
86	242	2549
87	247	2562
88	249	2553
89	251	2542
90	253	2530
91	255	2517
92	256	2505
93	261	2523
94	264	2521
95	266	2512
96	269	2506
97	271	2498
98	273	2488
99	278	2508
100	281	2503
101	283	2494
102	285	2485
103	287	2475
104	289	2467
105	293	2478
106	297	2479
107	299	2470
108	302	2470
109	305	2469
110	314	2518
111	317	2517
112	320	2519
113	325	2527
114	328	2528
115	331	2529
116	334	2523
117	338	2529
118	345	2560
119	349	2560
120	356	2587
121	358	2582
122	361	2574
123	364	2572
124	366	2564
125	369	2564
126	372	2557
127	374	2550
128	376	2544
129	378	2535
130	380	2525
131	384	2526
132	387	2524
133	389	2518
134	391	2510
135	393	2501
136	395	2493
137	397	2485
138	401	2485
139	403	2478
140	406	2474
141	408	2467
142	410	2459
143	412	2451
144	415	2449
145	418	2447
146	420	2440
147	423	2436
148	425	2428
149	427	2421
150	429	2415
151	433	2416
152	435	2409
153	437	2403
154	439	2397
155	442	2395
156	446	2395
157	453	2416
158	456	2412
159	458	2407
160	461	2402
161	465	2408
162	468	2407
163	471	2402
164	473	2396
165	475	2389
166	479	2392
167	482	2390
168	485	2385
169	486	2377
170	489	2370
171	491	2363
172	493	2361
173	497	2361
174	499	2354
175	501	2348
176	503	2341
177	505	2334
178	507	2329
179	510	2327
180	513	2324
181	516	2320
182	518	2314
183	520	2308
184	522	2301
185	525	2298
186	527	2294
187	530	2290
188	532	2283
189	534	2276
190	536	2271
191	540	2273
192	543	2270
193	544	2264
194	546	2257
195	548	2251
196	550	2245
197	553	2240
198	556	2241
199	559	2237
200	561	2231
201	563	2227
202	566	2222
203	568	2216
204	572	2218
205	574	2214
206	576	2208
207	578	2202
208	580	2196
209	582	2191
210	585	2190
211	588	2188
212	590	2183
213	593	2178
214	595	2173
215	597	2167
216	599	2163
217	602	2161
218	604	2156
219	607	2152
220	609	2147
221	611	2143
222	613	2138
223	617	2138
224	620	2136
225	622	2130
226	624	2125
227	626	2120
228	628	2115
229	630	2111
230	634	2113
231	636	2108
232	638	2103
233	640	2098
234	642	2092
235	645	2088
236	647	2084
237	650	2081
238	652	2077
239	654	2072
240	656	2068
241	658	2063
242	661	2060
243	663	2057
244	666	2053
245	668	2048
246	670	2043
247	672	2038
248	674	2035
249	677	2031
250	679	2028
251	682	2024
252	684	2020
253	686	2015
254	688	2010
255	690	2006
256	692	2001
257	694	1998
258	696	1993
259	698	1989
260	701	1985
261	703	1981
262	705	1977
263	707	1973
264	710	1970
265	712	1967
266	715	1963
267	718	1961
268	720	1958
269	723	1954
270	725	1952
271	728	1948
272	730	1945
273	732	1941
274	734	1937
275	736	1932
276	738	1928
277	741	1926
278	744	1922
279	746	1919
280	748	1916
281	751	1912
282	753	1908
283	755	1903
284	758	1903
285	761	1901
286	763	1897
287	765	1893
288	767	1889
289	770	1885
290	774	1885
291	778	1886
292	780	1882
293	782	1878
294	784	1874
295	786	1871
296	791	1873
297	793	1870
298	796	1866
299	798	1863
300	800	1859
301	804	1859
302	809	1861
303	812	1859
304	814	1855
305	816	1851
306	822	1857
307	827	1859
308	830	1857
309	832	1853
310	837	1855
311	841	1854
